file,shapes,shapes_id,shapes_cnt,max_dims
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3592_MR_T1-anatomical_Br_20140128110553982_S189947_I409169.anat_T1_biascorr_brain_mask_iso.nii.gz,"(176, 248, 170)",11.0,3.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3592_MR_T1-anatomical_Br_20140128110553982_S189947_I409169.anat_T1_iso.nii.gz,"(176, 248, 170)",11.0,3.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3592_MR_T1-anatomical_Br_20140128110553982_S189947_I409169.anat_T1_biascorr_iso.nii.gz,"(176, 248, 170)",11.0,3.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3150_MR_T1-anatomical_Br_20120905122932184_S145652_I330638.anat_T1_iso.nii.gz,"(144, 240, 170)",10.0,3.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3150_MR_T1-anatomical_Br_20120905122932184_S145652_I330638.anat_T1_biascorr_brain_mask_iso.nii.gz,"(144, 240, 170)",10.0,3.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3150_MR_T1-anatomical_Br_20120905122932184_S145652_I330638.anat_T1_biascorr_iso.nii.gz,"(144, 240, 170)",10.0,3.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_50901_MR_T1-anatomical_Br_20151014200853704_S259039_I526656.anat_T1_iso.nii.gz,"(192, 256, 170)",9.0,6.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3591_MR_T1-anatomical_Br_20180507203739525_S575488_I994278.anat_T1_biascorr_iso.nii.gz,"(192, 256, 170)",9.0,6.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3591_MR_T1-anatomical_Br_20180507203739525_S575488_I994278.anat_T1_biascorr_brain_mask_iso.nii.gz,"(192, 256, 170)",9.0,6.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3591_MR_T1-anatomical_Br_20180507203739525_S575488_I994278.anat_T1_iso.nii.gz,"(192, 256, 170)",9.0,6.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_50901_MR_T1-anatomical_Br_20151014200853704_S259039_I526656.anat_T1_biascorr_iso.nii.gz,"(192, 256, 170)",9.0,6.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_50901_MR_T1-anatomical_Br_20151014200853704_S259039_I526656.anat_T1_biascorr_brain_mask_iso.nii.gz,"(192, 256, 170)",9.0,6.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3130_MR_T1-anatomical_Br_20170509153215174_S547135_I849632.anat_T1_biascorr_iso.nii.gz,"(211, 253, 170)",8.0,9.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_41486_MR_T1-anatomical_Br_20151014172512455_S270814_I526381.anat_T1_iso.nii.gz,"(211, 253, 170)",8.0,9.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_41486_MR_T1-anatomical_Br_20151014172512455_S270814_I526381.anat_T1_biascorr_brain_mask_iso.nii.gz,"(211, 253, 170)",8.0,9.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_51330_MR_T1-anatomical_Br_20151014162538165_S259057_I526274.anat_T1_iso.nii.gz,"(211, 253, 170)",8.0,9.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3130_MR_T1-anatomical_Br_20170509153215174_S547135_I849632.anat_T1_iso.nii.gz,"(211, 253, 170)",8.0,9.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_3130_MR_T1-anatomical_Br_20170509153215174_S547135_I849632.anat_T1_biascorr_brain_mask_iso.nii.gz,"(211, 253, 170)",8.0,9.0,"(256, 256, 170)"
/data-10tb/shared/skull/train-3d-iso/PPMI/PPMI_51330_MR_T1-anatomical_Br_20151014162538165_S259057_I526274.anat_T1_biascorr_brain_mask_iso.nii.gz,"(211, 253, 170)",8.0,9.0,"(256, 256, 170)"
